"OrderID","Product","Quantity","Price","Customer"
1,"Thingamajig",5,120.3,"eve"
2,"Widget",15,82.81,"alice"
3,"Thingamajig",3,15.68,"georgia"
4,"Thingamajig",25,70.36,"charlie"
5,"Widget",3,161.56,"frank"
6,"Widget",15,5.9,"eve"
7,"Thingamajig",30,70.03,"eve"
8,"Gadget",15,82.64,"charlie"
9,"Thingamajig",3,109.79,"eve"
10,"Thingamajig",15,184.37,"alice"
11,"Thingamajig",15,72.54,"alice"
12,"Thingamajig",15,72.66,"charlie"
13,"Unknown",3,148.81,"frank"
14,"Thingamajig",0,93.18,"david"
15,"Gadget",0,48.8,"bob"
17,"Gadget",15,32.47,"eve"
18,"Gadget",25,39.4,"bob"
19,"Gadget",30,102.18,"hannah"
20,"Gadget",30,86.69,"charlie"
21,"Widget",15,183.39,"charlie"
22,"Widget",10,75.67,"frank"
24,"Gadget",3,128.29,"alice"
25,"Widget",2,7.55,"bob"
26,"Widget",30,134.39,"eve"
27,"Widget",25,39.72,"alice"
28,"Thingamajig",20,192.41,"georgia"
29,"Thingamajig",15,33.99,"georgia"
30,"Thingamajig",30,85.85,"hannah"
31,"Gadget",20,21.64,"georgia"
32,"Thingamajig",15,199.39,"charlie"
33,"Gadget",15,102.93,"bob"
36,"Gadget",2,151.24,"frank"
37,"Thingamajig",10,45.93,"david"
39,"Widget",5,45,"hannah"
40,"Thingamajig",10,42.18,"frank"
42,"Thingamajig",25,97.05,"david"
43,"Thingamajig",15,115.14,"hannah"
44,"Widget",5,17.81,"bob"
46,"Thingamajig",-5,93.39,"david"
47,"Gadget",15,107.26,"georgia"
48,"Widget",-5,90.95,"hannah"
50,"Gadget",3,114.13,"eve"
51,"Gadget",0,35.27,"alice"
52,"Widget",30,40.48,"georgia"
53,"Gadget",30,173.05,"hannah"
54,"Widget",15,189.49,"eve"
55,"Gadget",3,77.8,"hannah"
56,"Unknown",15,57.8,"frank"
57,"Thingamajig",20,130.58,"eve"
58,"Widget",-5,84.7,"georgia"
59,"Thingamajig",30,9.95,"frank"
60,"Thingamajig",5,35.45,"georgia"
61,"Gadget",-5,144.61,"bob"
63,"Unknown",25,10.28,"georgia"
64,"Gadget",3,48.28,"georgia"
65,"Unknown",10,50.06,"bob"
66,"Gadget",15,136.02,"charlie"
67,"Gadget",-5,8.84,"bob"
69,"Gadget",-5,160.98,"bob"
70,"Widget",10,39.82,"bob"
71,"Thingamajig",25,132.29,"alice"
72,"Gadget",2,51.45,"bob"
73,"Gadget",10,24.39,"hannah"
75,"Gadget",15,145.84,"hannah"
77,"Gadget",30,166.89,"david"
78,"Thingamajig",-5,82.45,"charlie"
79,"Thingamajig",15,135.28,"hannah"
81,"Thingamajig",15,62.16,"frank"
82,"Widget",0,179.79,"david"
83,"Unknown",-5,7.54,"alice"
84,"Widget",15,21.67,"alice"
85,"Widget",5,45.54,"charlie"
86,"Gadget",15,10.17,"georgia"
87,"Thingamajig",15,40.38,"hannah"
88,"Widget",5,118.69,"frank"
90,"Widget",20,179.07,"hannah"
91,"Widget",25,164.4,"eve"
92,"Unknown",10,71.65,"alice"
93,"Widget",10,55.59,"bob"
94,"Thingamajig",15,79.04,"frank"
97,"Widget",15,126.71,"bob"
98,"Thingamajig",3,84.84,"hannah"
99,"Unknown",25,112.65,"frank"
100,"Widget",0,90.04,"georgia"
101,"Unknown",15,62.42,"alice"
102,"Thingamajig",30,189.95,"alice"
103,"Thingamajig",2,153.9,"alice"
105,"Thingamajig",15,174.35,"hannah"
106,"Thingamajig",2,100.05,"eve"
107,"Widget",-5,179.44,"alice"
108,"Thingamajig",15,160.97,"eve"
109,"Widget",2,87.92,"eve"
110,"Gadget",30,9.38,"georgia"
111,"Thingamajig",-5,57.39,"alice"
112,"Gadget",5,110.62,"charlie"
113,"Widget",30,128.53,"david"
114,"Thingamajig",2,55.29,"bob"
115,"Widget",30,32.17,"eve"
116,"Gadget",-5,167.81,"frank"
117,"Widget",20,196.96,"frank"
118,"Thingamajig",-5,107.51,"david"
119,"Thingamajig",-5,38.48,"frank"
120,"Gadget",15,58.1,"charlie"
121,"Widget",25,8.59,"frank"
122,"Thingamajig",5,183.29,"bob"
123,"Gadget",0,27.96,"bob"
125,"Thingamajig",10,58.44,"alice"
126,"Widget",25,113.06,"georgia"
128,"Widget",15,166.8,"eve"
129,"Thingamajig",15,45.25,"charlie"
130,"Gadget",15,7.14,"alice"
131,"Thingamajig",15,31.69,"hannah"
133,"Widget",20,175.41,"frank"
134,"Gadget",15,121.5,"georgia"
135,"Thingamajig",15,122.1,"alice"
136,"Thingamajig",25,134.68,"eve"
137,"Gadget",20,39.2,"georgia"
138,"Thingamajig",30,183.31,"alice"
139,"Thingamajig",2,86.66,"david"
140,"Widget",20,79.71,"bob"
141,"Thingamajig",0,106.19,"georgia"
142,"Thingamajig",15,14.16,"georgia"
143,"Gadget",3,37.43,"eve"
144,"Gadget",2,148.92,"charlie"
145,"Widget",10,21.15,"david"
147,"Thingamajig",10,52.84,"alice"
148,"Thingamajig",20,80.91,"alice"
149,"Unknown",10,61.3,"alice"
150,"Widget",0,74.36,"hannah"
151,"Gadget",15,145.21,"alice"
152,"Widget",30,62.94,"charlie"
153,"Thingamajig",25,115.45,"david"
155,"Unknown",0,134.42,"bob"
156,"Unknown",0,187.68,"charlie"
157,"Thingamajig",10,147.85,"charlie"
158,"Widget",10,46.91,"hannah"
159,"Widget",20,11.08,"frank"
160,"Thingamajig",25,56.14,"frank"
161,"Thingamajig",15,121.04,"bob"
162,"Thingamajig",10,15.03,"bob"
163,"Gadget",15,101.79,"frank"
164,"Gadget",15,121.38,"alice"
166,"Widget",-5,155.33,"eve"
167,"Gadget",10,25.79,"bob"
168,"Widget",15,19.65,"hannah"
169,"Widget",15,147,"hannah"
171,"Gadget",15,139.24,"frank"
172,"Gadget",15,89.79,"david"
173,"Thingamajig",15,53.05,"eve"
174,"Gadget",15,164.72,"eve"
175,"Thingamajig",15,160.89,"bob"
176,"Widget",15,140.47,"alice"
177,"Thingamajig",30,58.07,"david"
178,"Gadget",30,120.09,"eve"
179,"Widget",15,75.39,"bob"
180,"Widget",10,22.86,"hannah"
181,"Widget",15,183.88,"eve"
182,"Thingamajig",25,31.68,"georgia"
183,"Unknown",15,190.3,"david"
184,"Widget",15,91.97,"david"
185,"Widget",5,41.1,"georgia"
186,"Widget",10,110.67,"charlie"
187,"Thingamajig",10,175.22,"hannah"
188,"Thingamajig",2,147.78,"georgia"
189,"Gadget",20,162.28,"frank"
190,"Unknown",-5,133.46,"frank"
191,"Widget",2,139.99,"bob"
192,"Gadget",15,170.59,"david"
193,"Widget",30,53.69,"charlie"
194,"Widget",30,100.44,"charlie"
195,"Thingamajig",20,48.14,"eve"
198,"Thingamajig",15,12.69,"charlie"
199,"Gadget",0,142.59,"georgia"
200,"Widget",15,185.42,"hannah"
201,"Widget",-5,300,"georgia"
202,"Gadget",10,115.75,"eve"
204,"Gadget",-5,11.62,"georgia"
205,"Gadget",15,141,"alice"
206,"Thingamajig",0,62.98,"david"
207,"Gadget",25,185.26,"charlie"
208,"Thingamajig",10,194.36,"charlie"
209,"Widget",3,189.13,"georgia"
210,"Widget",15,97.47,"david"
211,"Widget",15,173.1,"eve"
212,"Widget",20,169.69,"eve"
213,"Unknown",0,67.22,"frank"
214,"Widget",15,166.64,"charlie"
215,"Gadget",3,12.22,"bob"
217,"Gadget",-5,49.85,"eve"
218,"Thingamajig",20,28.51,"david"
220,"Widget",20,140.78,"eve"
221,"Unknown",20,71.28,"david"
223,"Gadget",0,17.74,"charlie"
224,"Gadget",15,66.48,"eve"
225,"Widget",20,110.2,"georgia"
226,"Gadget",5,159.19,"david"
227,"Gadget",15,67.16,"charlie"
229,"Thingamajig",10,177.77,"hannah"
230,"Thingamajig",2,125.09,"bob"
231,"Unknown",-5,50.43,"david"
232,"Widget",15,9.76,"frank"
233,"Thingamajig",30,174.67,"bob"
234,"Gadget",15,9.15,"bob"
235,"Widget",10,175.57,"alice"
236,"Gadget",15,108.14,"eve"
237,"Gadget",5,188.12,"david"
